review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1S0N56H5B9SUX,5,30,30,N,Y
RCDI7Z8VCZJI9,4,40,43,N,N
R297QI4VU3LMY6,4,41,50,N,N
R2LWBYC8TEUVF2,5,50,53,N,Y
R23E4EIJXID5IC,5,43,43,N,N
R1WFSWDT8L5RSJ,4,23,26,N,N
R37LMHN02KOER1,5,50,50,N,N
R2NPE00F48X0ET,5,22,27,N,N
RGNU1L1XFX33B,3,34,35,N,N
RSPQFPJ4ISKS3,5,32,35,N,Y
R3U75LKYXVWRG8,3,18,23,N,Y
R140Z5HP12GL1E,5,47,56,N,Y
R2Z6WUTQEXJWCR,5,18,20,N,Y
R1C9BQD9AA2C76,5,50,53,N,Y
R25Q6S82PO8PHG,5,23,28,N,Y
R18VNEEQLPQPPO,5,146,153,N,Y
R2KTDZKWNKNXPE,5,20,22,N,Y
R1T2DZ27VMFSDV,5,18,21,N,N
R1L9S1598FPFFG,5,28,33,N,Y
RXNMSLZ3KAT95,5,24,25,N,Y
R229H9FM9U7TVS,1,50,51,N,N
R1C5OBNREXBTHF,4,15,22,N,N
R3TSH95MIRAKT8,5,36,41,N,N
R2QQBSREU30DDY,3,23,30,N,Y
R30ULW5SGGEQ46,5,25,30,N,N
R15MAEIN2W5L87,5,35,38,N,Y
R1GI5SXPSICM1K,4,17,22,N,N
R2AZKX1SQUZGE0,2,30,31,N,N
R32T0XS9JCAUP3,1,13,20,N,Y
RMZV15B2PELR,4,34,36,N,N
R2EP3ML2KOM79A,5,22,22,N,N
R3IIGLHK70C8HL,5,18,22,N,N
R2YT0D95ESC1Q2,1,12,24,N,N
R1KJEN6YOS84UH,5,43,43,N,Y
RQPDTT46CHGKO,5,19,20,N,N
RQWSVVULBESOI,1,11,20,N,Y
R1SCIT4ID9GIW9,3,28,39,N,N
R3SF87DIQNH5Z3,4,17,22,N,N
R22ZDEXIUD3C8X,5,49,58,N,Y
RA3H278KBP9YW,5,28,34,N,N
R104IKWZD27GPI,4,26,30,N,N
R1FGE4ZU21MRDX,5,26,30,N,N
R1ELH3KUD4HNZ1,5,57,59,N,Y
R39BZL3EJVXGQH,5,50,54,N,Y
R1D5RVAYYB23UK,4,21,32,N,Y
R2AP36CCVOWC26,5,26,27,N,Y
R1STRLQZEPHDNN,5,35,46,N,N
R2UZ83ZKIMSTNG,5,49,50,N,Y
R19XHRQ0HYMN9E,4,20,24,N,Y
R1ORAW1LRPVAAP,1,19,30,N,N
R1LISI01N1XK9X,5,23,24,N,N
R3QY3JX8A3KLBZ,1,19,21,N,N
R3RSVOUHJAIKMV,5,22,22,N,Y
RDO27HU7CT67Y,5,33,34,N,Y
RDGKUN7N26LTZ,5,17,21,N,Y
R1J51GNCPC98Z8,3,43,57,N,N
R3A5F93WJPEP4D,5,43,46,N,N
R235BQNOPIV7PB,1,15,25,N,N
R1LWSJLU1U2KCZ,1,24,25,N,Y
RDLFXMJQFU0Y4,4,28,29,N,N
RELTTN66HUXP,1,20,22,N,Y
R3QW4MIBU454W7,5,24,25,N,Y
R1JST30CO15L9I,5,35,35,N,Y
R1RH72BS6BR48D,5,52,53,N,Y
R1WJ2URPJRRZL2,4,209,213,N,Y
R1G81QUIGWKUNR,5,21,22,N,N
RV335389J7OPU,5,19,20,N,Y
RI5YCSMB4ZZG8,2,12,24,N,N
R4O6MK05F5U2I,5,24,28,N,Y
R283AAVL50BYEB,5,94,103,N,N
R1HJJ0JJDM56LP,5,18,21,N,N
R2FJPVAS9DZXS9,5,28,29,N,Y
R2Y7S5E0UT003C,1,18,30,N,N
R36ZQ7K8FQX4C9,5,28,28,N,N
RIRS1WCWNCAOR,5,48,53,N,Y
RPA4VYP4V4MUJ,5,117,123,N,N
R1JHO2H84FL3MX,5,45,52,N,N
R1LMKN5AGMQ9H6,5,20,24,N,Y
R2YHGHRUURWUYE,4,20,27,N,Y
R295UY4WGOAYKS,1,12,23,N,N
R3T8788C0Y2HSJ,5,21,24,N,N
R1HWA2A7TR24VD,5,20,20,N,N
R1LJZFPKC69LF1,5,46,46,N,N
R1X2HPVR4VHYPN,5,21,23,N,N
R97KYN70PKZ35,5,22,22,N,Y
R3LN9349UYK6J,5,41,41,N,Y
RY3YWIDX2EWU4,5,22,22,N,Y
R3M308D72ISDBR,5,22,24,N,Y
R3FQN6DKNMHVWQ,5,20,20,N,Y
R1S92LN3N5ZXVD,5,18,20,N,N
R1Q25KW7WSQGP9,5,22,24,N,N
R2TY7PD2NPB5V6,5,18,21,N,N
R1FAG2R1SR6B1F,5,23,24,N,Y
R3NJWEMF7890OH,5,117,120,N,Y
R2NU71BQMCY9GF,5,23,23,N,N
R3HVG47F9FQK2N,5,81,82,N,Y
R1ETLV7SFPXMUV,5,86,86,N,N
R1M4E9HU9Y83CY,5,20,20,N,Y
R2V4OSV3431WAE,5,22,23,N,Y
R2LAO6CQKRQSEQ,1,31,37,N,N
R3R0E0RVWSEE1L,5,20,24,N,N
R3VLVM9EUFSHYM,5,37,39,N,Y
R170KTH6G2AKP0,5,84,93,N,Y
R13XDOT8TJ1NRG,5,22,23,N,Y
R2EN85KLMRDAXQ,5,24,24,N,N
R3BTTTCNFGGKPE,2,18,23,N,N
R14G87APN9P6IM,5,32,32,N,Y
R5FNHASWHOBH1,5,20,20,N,N
RCDJTRLYOM1AC,5,21,22,N,Y
